date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-09 05:27:43,Leena12303215,lostsoul_apu,0,0,0,"#JusticeForSushantSingh",,,#JusticeForSushantSingh,1281097680408637442,https://twitter.com/Leena12303215/status/1281097680408637442
2020-07-09 05:27:08,Nirbak_Shrota,aaditeaa,1,0,1,"pic.twitter.com/LCv08WYtuA",,,,1281097533163335680,https://twitter.com/Nirbak_Shrota/status/1281097533163335680
2020-07-09 05:26:29,Nirbak_Shrota,onaadanparindey,0,1,3,"https://twitter.com/onaadanparindey/status/1280806063843840000 …",,,,1281097370260738048,https://twitter.com/Nirbak_Shrota/status/1281097370260738048
2020-07-09 05:26:14,cats_apu,myc416,0,0,0,"GANMA読んでるのね",,,,1281097308776493056,https://twitter.com/cats_apu/status/1281097308776493056
2020-07-09 05:25:17,Apunaha67324455,MissB_74,5,0,2,"Y con la falta de recursos nos metemos con el aspecto físico, si eso es todo lo que podéis decir...,aunque haciéndote llamar miss, me imagino como eres. Grande Rufian! Aupa gudari...",,,,1281097069793619971,https://twitter.com/Apunaha67324455/status/1281097069793619971
2020-07-09 05:25:05,NehaS39456942,amitmuny,0,1,4,"Justice milne nai nai thake ge nai rukenge hum.",,,,1281097020355170304,https://twitter.com/NehaS39456942/status/1281097020355170304
2020-07-09 05:24:27,ShreyaC64805606,,0,8,7,"this type of dedication is rare, but some peoples made his life horrible... #SCOrderCBIForSSR @PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnnipic.twitter.com/rkhmCSMphY",,@PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnnipic,#SCOrderCBIForSSR,1281096860946456581,https://twitter.com/ShreyaC64805606/status/1281096860946456581
2020-07-09 05:24:12,johnsyjustin,pragati2036,0,0,0,"hes enjoying",,,,1281096794865164288,https://twitter.com/johnsyjustin/status/1281096794865164288
2020-07-09 05:23:05,MDNakibulhasan1,Eva_Rahman_,0,0,0,"Jajakallah apu",,,,1281096514543087617,https://twitter.com/MDNakibulhasan1/status/1281096514543087617
2020-07-09 05:22:48,akanshaadips,iRaviTiwari,0,1,0,"thanks sir thanks a lot koi tu hai.. thanks in tons #cbiinquiryofsushantsinghrajputmurder #AmitShahDoJusticeForSSR #modijigivejusticetosushantsinghrajput",,,#cbiinquiryofsushantsinghrajputmurder #AmitShahDoJusticeForSSR #modijigivejusticetosushantsinghrajput,1281096442648465408,https://twitter.com/akanshaadips/status/1281096442648465408
2020-07-09 05:22:27,KatariinaIhala1,markuskajo,0,0,0,"Rahalla saa ja hevosilla pääsöö sanottii näistä ennenki vanhaan. Nyt vasta oppii ymmärtämään mitä vanhemmat tällä tarkoitti.. Toivottavasti apu kuitenkin oli toisestakin lääkkeestä.",,,,1281096355667206145,https://twitter.com/KatariinaIhala1/status/1281096355667206145
2020-07-09 05:22:13,AnanyaC36585931,,0,2,1,"this type of dedication is rare, but some peoples made his life horrible... #SCOrderCBIForSSR @PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorldpic.twitter.com/Mf7zdHSazh",,@PMOIndia @HMOIndia @RoopaSpeaks @Kangana_Ra @mamta_kale @iRaviTiwari @Imkgauravmishra @SunilBNJha @KarniSenaDelhi @lostsoul_apu @nytimes @Zee_Hindustan @indiatvnews @cnni @BBCWorldpic,#SCOrderCBIForSSR,1281096298154754049,https://twitter.com/AnanyaC36585931/status/1281096298154754049
2020-07-09 05:22:09,Byju_v6,amitmuny,1,20,14,"We want Justice for Sushant Singh Rajput, We'll not stop unless n until Justice is done to @itsSSR #SCOrderCBIForSSR",,@itsSSR,#SCOrderCBIForSSR,1281096280832241666,https://twitter.com/Byju_v6/status/1281096280832241666
2020-07-09 05:21:29,topnewscorner,,0,0,0,"New post (World Auxiliary Power Units (APU) Market To 2025, Industry Size & Growth Rate Analysis Report) has been published on http://Topnewscorner.com - http://www.topnewscorner.com/world-auxiliary-power-units-apu-market-to-2025-industry-size-growth-rate-analysis-report/ …pic.twitter.com/2cQfRmZCRR",,,,1281096113542565888,https://twitter.com/topnewscorner/status/1281096113542565888
2020-07-09 05:21:02,chico_0918,apu_suke,1,0,0,"コルセットしてみたら？ ばばあもよくお世話になってる",,,,1281095997569953792,https://twitter.com/chico_0918/status/1281095997569953792
